watch_id,user_id,show_id,genre,watch_time,watch_date
W197,U3079,S31,Fantasy,104,2025-06-19
W198,U5508,S32,Adventure,9,2025-07-21
W199,U1447,S27,Action,27,2025-03-26
W200,U4864,S16,Romance,10,2025-03-23
W201,U1062,S10,Fantasy,10,2025-04-25
W202,U4723,S17,Thriller,10,2025-02-08
W203,U4948,S2,Action,74,2025-07-27
W204,U5033,S23,Crime,66,2025-07-21
W205,U2893,S35,Action,90,2025-05-04
W206,U3687,S7,Drama,77,2025-07-21
W207,U4447,S19,Animation,45,2025-02-19
W208,U2082,S12,Comedy,15,2025-03-07
W209,U5662,S10,Fantasy,68,2025-07-26
W210,U5596,S23,Crime,5,2025-03-14
W211,U4401,S15,Action,43,2025-02-05
W212,U2452,S17,Thriller,90,2025-05-26
W213,U2846,S36,Horror,66,2025-06-02
W214,U2027,S7,Drama,7,2025-05-09
W215,U3259,S16,Romance,36,2025-02-19
W216,U3475,S17,Thriller,8,2025-06-12
W217,U5253,S32,Adventure,90,2025-03-30
W218,U3822,S35,Action,107,2025-05-08
W219,U1156,S25,War,58,2025-03-14
W220,U4104,S28,Sci-Fi,99,2025-06-19
W221,U3890,S23,Crime,30,2025-03-10
W222,U3837,S6,Animation,9,2025-07-13
W223,U1737,S27,Action,12,2025-03-06
W224,U4222,S15,Action,115,2025-03-11
W225,U2658,S6,Animation,78,2025-07-20
W226,U5360,S34,Mystery,89,2025-02-27
W227,U2422,S12,Comedy,16,2025-07-13
W228,U2533,S23,Crime,114,2025-07-27
W229,U5721,S7,Drama,20,2025-07-22
W230,U2154,S26,Thriller,16,2025-04-16
W231,U1945,S29,Crime,48,2025-05-12
W232,U1904,S7,Drama,15,2025-02-03
W233,U2168,S8,Mystery,119,2025-07-11
W234,U2052,S22,Mystery,102,2025-05-27
W235,U3351,S6,Animation,95,2025-05-08
W236,U1133,S21,Drama,42,2025-07-01
W237,U3638,S11,Crime,87,2025-03-27
W238,U3566,S26,Thriller,113,2025-06-23
W239,U3945,S11,Crime,71,2025-05-26
W240,U3626,S6,Animation,42,2025-07-23
W241,U5864,S20,Horror,99,2025-07-04
W242,U4257,S14,Crime,51,2025-02-16
W243,U3990,S31,Fantasy,23,2025-02-02
W244,U3969,S33,Romance,84,2025-07-06
W245,U5559,S10,Fantasy,79,2025-02-10
W246,U3967,S29,Crime,120,2025-07-13
W247,U3712,S4,Crime,78,2025-03-19
W248,U4761,S36,Horror,89,2025-03-09
W249,U1244,S17,Thriller,42,2025-05-18
W250,U3349,S8,Mystery,57,2025-05-07
W251,U4856,S22,Mystery,42,2025-05-22
W252,U1557,S20,Horror,52,2025-05-22
W253,U1997,S6,Animation,58,2025-02-10
W254,U5967,S9,Drama,85,2025-06-12
W255,U5074,S18,Sci-Fi,88,2025-06-23
W256,U1942,S21,Drama,11,2025-03-17
W257,U3276,S19,Animation,105,2025-04-30
W258,U3539,S33,Romance,57,2025-04-25
W259,U3337,S11,Crime,30,2025-05-04
W260,U4856,S35,Action,80,2025-07-13
W261,U2306,S4,Crime,85,2025-07-13
W262,U1019,S23,Crime,94,2025-05-01
W263,U1633,S23,Crime,58,2025-05-20
W264,U4106,S1,Sci-Fi,20,2025-06-24
W265,U3375,S36,Horror,73,2025-03-06
W266,U2121,S33,Romance,88,2025-04-16
W267,U1561,S15,Action,84,2025-03-30
W268,U2680,S1,Sci-Fi,21,2025-06-12
W269,U3621,S16,Romance,28,2025-04-13
W270,U4267,S36,Horror,50,2025-03-14
W271,U1310,S15,Action,56,2025-02-18
W272,U4090,S28,Sci-Fi,89,2025-03-17
W273,U4202,S31,Fantasy,52,2025-05-22
W274,U5338,S2,Action,36,2025-02-13
W275,U2662,S20,Horror,65,2025-02-09
W276,U4067,S34,Mystery,91,2025-03-14
W277,U1484,S7,Drama,112,2025-05-15
W278,U4198,S22,Mystery,111,2025-07-23
W279,U3505,S19,Animation,119,2025-03-03
W280,U2151,S35,Action,45,2025-02-15
W281,U4499,S9,Drama,21,2025-07-28
W282,U1761,S26,Thriller,22,2025-04-06
W283,U3002,S26,Thriller,80,2025-07-11
W284,U2151,S31,Fantasy,82,2025-02-07
W285,U3254,S4,Crime,115,2025-06-17
W286,U4662,S19,Animation,21,2025-03-04
W287,U1202,S28,Sci-Fi,99,2025-02-01
W288,U1666,S27,Action,15,2025-05-17
W289,U5197,S34,Mystery,98,2025-05-24
W290,U1256,S18,Sci-Fi,17,2025-02-20
W291,U1708,S10,Fantasy,35,2025-06-28
W292,U3550,S31,Fantasy,102,2025-05-21
W293,U3641,S6,Animation,14,2025-03-01
W294,U2342,S13,Drama,58,2025-03-20
W295,U4246,S17,Thriller,77,2025-05-04
W296,U3162,S28,Sci-Fi,47,2025-04-25
W297,U3823,S27,Action,116,2025-03-25
W298,U4013,S31,Fantasy,113,2025-06-02
W299,U4358,S21,Drama,72,2025-04-16
W300,U3617,S23,Crime,49,2025-05-13
W301,U3566,S21,Drama,61,2025-07-25
W302,U4242,S10,Fantasy,20,2025-04-15
W303,U1424,S29,Crime,105,2025-05-12
W304,U3699,S33,Romance,108,2025-03-06
W305,U2452,S34,Mystery,6,2025-04-16
W306,U3421,S1,Sci-Fi,5,2025-05-21
W307,U3759,S35,Action,9,2025-03-20
W308,U4893,S19,Animation,11,2025-04-25
W309,U5502,S28,Sci-Fi,71,2025-03-13
W310,U4224,S20,Horror,119,2025-02-07
W311,U2887,S22,Mystery,15,2025-01-29
W312,U4938,S16,Romance,93,2025-03-31
W313,U5630,S10,Fantasy,89,2025-07-15
W314,U2788,S23,Crime,55,2025-05-14
W315,U1042,S28,Sci-Fi,50,2025-03-18
W316,U2862,S21,Drama,12,2025-03-20
W317,U4865,S12,Comedy,98,2025-04-23
W318,U4557,S18,Sci-Fi,79,2025-07-22
W319,U4976,S27,Action,73,2025-03-22
W320,U3026,S32,Adventure,97,2025-02-10
W321,U4188,S36,Horror,56,2025-07-04
W322,U2089,S15,Action,73,2025-02-05
W323,U5375,S12,Comedy,11,2025-02-17
W324,U2763,S24,Drama,81,2025-03-27
W325,U1760,S1,Sci-Fi,63,2025-03-25
W326,U3135,S26,Thriller,93,2025-07-20
W327,U1340,S1,Sci-Fi,83,2025-07-09
W328,U1482,S13,Drama,69,2025-06-11
W329,U2128,S2,Action,29,2025-06-11
W330,U4634,S29,Crime,97,2025-06-01
W331,U5854,S25,War,73,2025-04-26
W332,U5496,S26,Thriller,96,2025-06-30
W333,U5855,S35,Action,51,2025-03-31
W334,U3854,S11,Crime,58,2025-05-18
W335,U2984,S23,Crime,91,2025-06-16
W336,U3423,S18,Sci-Fi,67,2025-02-05
W337,U1666,S16,Romance,99,2025-03-03
W338,U1662,S30,Sci-Fi,50,2025-03-11
W339,U2039,S24,Drama,29,2025-02-10
W340,U5794,S1,Sci-Fi,45,2025-06-07
W341,U3405,S10,Fantasy,81,2025-07-14
W342,U5152,S27,Action,116,2025-07-12
W343,U2077,S17,Thriller,99,2025-01-27
W344,U5837,S4,Crime,10,2025-07-11
W345,U3602,S11,Crime,24,2025-02-25
W346,U2157,S36,Horror,46,2025-05-18
W347,U2783,S35,Action,52,2025-07-10
W348,U1578,S14,Crime,77,2025-02-23
W349,U5702,S14,Crime,43,2025-05-28
W350,U5599,S27,Action,14,2025-02-14
W351,U3014,S24,Drama,33,2025-04-18
W352,U5445,S11,Crime,63,2025-04-03
W353,U2524,S20,Horror,63,2025-07-20
W354,U4957,S34,Mystery,113,2025-04-06
W355,U2468,S15,Action,76,2025-06-24
W356,U4475,S21,Drama,24,2025-07-20
W357,U1430,S36,Horror,111,2025-07-03
W358,U3623,S36,Horror,86,2025-03-20
W359,U5341,S14,Crime,70,2025-03-21
W360,U5476,S10,Fantasy,84,2025-04-09
W361,U1942,S12,Comedy,90,2025-06-06
W362,U3821,S30,Sci-Fi,120,2025-02-07
W363,U4836,S9,Drama,46,2025-07-06
W364,U3954,S9,Drama,25,2025-05-31
W365,U5430,S19,Animation,11,2025-07-14
W366,U3016,S3,Drama,64,2025-03-14
W367,U2139,S7,Drama,66,2025-06-23
W368,U1652,S20,Horror,56,2025-03-28
W369,U2478,S34,Mystery,28,2025-03-02
W370,U3133,S28,Sci-Fi,53,2025-05-28
W371,U2501,S5,Sci-Fi,11,2025-06-25
W372,U4704,S12,Comedy,44,2025-05-31
W373,U5382,S32,Adventure,87,2025-05-17
W374,U1500,S33,Romance,78,2025-07-06
W375,U3167,S32,Adventure,28,2025-02-15
W376,U4841,S1,Sci-Fi,39,2025-03-24
W377,U1476,S23,Crime,14,2025-06-03
W378,U2759,S22,Mystery,40,2025-03-02
W379,U4988,S25,War,64,2025-04-14
W380,U1716,S8,Mystery,57,2025-03-17
W381,U5368,S8,Mystery,31,2025-06-09
W382,U3763,S6,Animation,15,2025-07-15
W383,U4728,S30,Sci-Fi,48,2025-06-26
W384,U4174,S29,Crime,76,2025-02-27
W385,U1669,S10,Fantasy,40,2025-03-13
W386,U1970,S1,Sci-Fi,74,2025-07-11
W387,U2531,S14,Crime,57,2025-07-15
W388,U1026,S1,Sci-Fi,29,2025-04-07
W389,U3472,S24,Drama,97,2025-06-14
W390,U5634,S21,Drama,119,2025-02-24
W391,U5116,S35,Action,89,2025-05-06
W392,U2475,S31,Fantasy,54,2025-06-26
W393,U2190,S5,Sci-Fi,67,2025-03-18
W394,U4386,S18,Sci-Fi,38,2025-05-29
W395,U5553,S10,Fantasy,93,2025-03-31
W396,U1951,S18,Sci-Fi,97,2025-03-12
W397,U5397,S2,Action,83,2025-03-28
W398,U1584,S28,Sci-Fi,100,2025-07-21
W399,U5518,S22,Mystery,71,2025-07-16
W400,U4169,S13,Drama,102,2025-02-24
W401,U3884,S13,Drama,36,2025-02-10
W402,U3602,S34,Mystery,51,2025-06-23
W403,U5965,S4,Crime,42,2025-05-03
W404,U1680,S28,Sci-Fi,8,2025-02-06
W405,U5805,S12,Comedy,111,2025-04-29
W406,U1849,S8,Mystery,66,2025-04-18
W407,U2262,S13,Drama,62,2025-05-10
W408,U5494,S6,Animation,20,2025-06-16
W409,U3429,S6,Animation,71,2025-04-26
W410,U4061,S5,Sci-Fi,47,2025-06-29
W411,U4140,S8,Mystery,78,2025-02-09
W412,U2674,S23,Crime,8,2025-07-27
W413,U5529,S19,Animation,99,2025-04-16
W414,U3638,S35,Action,56,2025-03-05
W415,U5762,S26,Thriller,119,2025-05-19
W416,U4789,S32,Adventure,97,2025-04-12
W417,U5125,S36,Horror,110,2025-03-20
W418,U3817,S27,Action,61,2025-06-20
W419,U1982,S7,Drama,47,2025-06-02
W420,U4816,S27,Action,73,2025-03-26
W421,U1930,S3,Drama,45,2025-05-26
W422,U4149,S8,Mystery,99,2025-07-12
W423,U2495,S32,Adventure,16,2025-07-18
W424,U4766,S13,Drama,54,2025-06-08
W425,U4407,S13,Drama,95,2025-02-25
W426,U5168,S15,Action,108,2025-05-17
W427,U4499,S23,Crime,93,2025-04-18
W428,U5436,S21,Drama,37,2025-01-27
W429,U5790,S13,Drama,120,2025-04-19
W430,U5610,S30,Sci-Fi,53,2025-05-15
W431,U5380,S3,Drama,107,2025-06-10
W432,U2122,S34,Mystery,48,2025-07-24
W433,U4574,S21,Drama,58,2025-05-13
W434,U5146,S9,Drama,44,2025-07-01
W435,U3588,S16,Romance,94,2025-05-09
W436,U3287,S16,Romance,90,2025-06-25
W437,U3082,S36,Horror,108,2025-06-23
W438,U4423,S18,Sci-Fi,97,2025-01-31
W439,U5108,S14,Crime,22,2025-05-10
W440,U4954,S20,Horror,5,2025-07-20
W441,U2382,S7,Drama,89,2025-05-04
W442,U4076,S22,Mystery,90,2025-05-22
W443,U4072,S20,Horror,19,2025-06-18
W444,U3199,S11,Crime,112,2025-04-25
W445,U3470,S24,Drama,50,2025-03-18
W446,U5331,S20,Horror,97,2025-06-15
W447,U3987,S35,Action,14,2025-02-07
W448,U4311,S3,Drama,43,2025-06-20
W449,U3037,S11,Crime,54,2025-07-26
W450,U3993,S12,Comedy,58,2025-06-03
W451,U5017,S5,Sci-Fi,52,2025-02-03
W452,U5494,S34,Mystery,108,2025-04-23
W453,U4277,S17,Thriller,26,2025-06-22
W454,U2611,S30,Sci-Fi,50,2025-05-25
W455,U1397,S22,Mystery,78,2025-06-23
W456,U4626,S1,Sci-Fi,110,2025-04-21
W457,U3425,S20,Horror,97,2025-05-25
W458,U5665,S35,Action,91,2025-02-12
W459,U2835,S16,Romance,120,2025-02-08
W460,U2413,S24,Drama,51,2025-06-19
W461,U5892,S14,Crime,37,2025-06-23
W462,U2210,S18,Sci-Fi,45,2025-07-11
W463,U5364,S34,Mystery,85,2025-06-11
W464,U2374,S6,Animation,107,2025-02-12
W465,U4903,S10,Fantasy,30,2025-03-17
W466,U3783,S17,Thriller,120,2025-07-25
W467,U4535,S13,Drama,69,2025-01-27
W468,U4315,S18,Sci-Fi,9,2025-07-13
W469,U5245,S15,Action,8,2025-02-13
W470,U4252,S3,Drama,18,2025-06-22
W471,U5141,S31,Fantasy,10,2025-05-17
W472,U1184,S35,Action,79,2025-02-27
W473,U2366,S33,Romance,21,2025-03-13
W474,U3195,S13,Drama,113,2025-05-22
W475,U3631,S24,Drama,65,2025-06-05
W476,U3103,S35,Action,8,2025-07-04
W477,U4329,S19,Animation,103,2025-03-22
W478,U1944,S10,Fantasy,119,2025-05-30
W479,U2480,S11,Crime,114,2025-05-09
W480,U1809,S21,Drama,100,2025-07-23
W481,U4455,S2,Action,98,2025-06-05
W482,U5445,S24,Drama,117,2025-05-17
W483,U3072,S14,Crime,115,2025-02-27
W484,U4433,S11,Crime,98,2025-03-29
W485,U5593,S21,Drama,114,2025-06-20
W486,U3764,S10,Fantasy,69,2025-02-16
W487,U5146,S18,Sci-Fi,14,2025-06-25
W488,U5820,S28,Sci-Fi,116,2025-03-08
W489,U5490,S33,Romance,56,2025-02-15
W490,U4926,S30,Sci-Fi,67,2025-02-19
W491,U2032,S16,Romance,86,2025-04-30
W492,U2068,S32,Adventure,103,2025-03-22
W493,U1604,S29,Crime,66,2025-07-15
W494,U2326,S21,Drama,38,2025-01-27
W495,U5608,S28,Sci-Fi,21,2025-04-23
W496,U4644,S22,Mystery,108,2025-05-25
W497,U1767,S34,Mystery,28,2025-06-17
W498,U4803,S4,Crime,107,2025-02-05
W499,U4434,S1,Sci-Fi,60,2025-02-11
W500,U3461,S8,Mystery,37,2025-05-11
W501,U3546,S31,Fantasy,55,2025-03-10
W502,U3496,S13,Drama,54,2025-06-05
W503,U5821,S20,Horror,20,2025-04-18
W504,U3264,S2,Action,117,2025-04-26
W505,U2671,S33,Romance,111,2025-02-13
W506,U5354,S15,Action,59,2025-02-16
W507,U4642,S6,Animation,10,2025-04-02
W508,U2963,S25,War,44,2025-02-01
W509,U4867,S27,Action,66,2025-05-28
W510,U1088,S11,Crime,77,2025-02-25
W511,U2059,S16,Romance,22,2025-06-02
W512,U5639,S26,Thriller,63,2025-02-22
W513,U3575,S15,Action,91,2025-06-11
W514,U5138,S30,Sci-Fi,40,2025-03-29
W515,U3236,S12,Comedy,37,2025-05-10
W516,U4727,S22,Mystery,78,2025-07-05
W517,U4140,S20,Horror,7,2025-07-03
W518,U1044,S4,Crime,57,2025-07-15
W519,U3667,S25,War,120,2025-04-01
W520,U2209,S2,Action,12,2025-07-09
W521,U4520,S34,Mystery,50,2025-02-27
W522,U2905,S29,Crime,56,2025-06-25
W523,U2434,S14,Crime,33,2025-03-06
W524,U2816,S14,Crime,78,2025-04-02
W525,U1685,S24,Drama,13,2025-05-22
W526,U4625,S27,Action,8,2025-03-14
W527,U5546,S8,Mystery,25,2025-05-25
W528,U1462,S19,Animation,97,2025-07-21
W529,U3044,S22,Mystery,117,2025-02-27
W530,U5222,S26,Thriller,97,2025-05-22
W531,U3876,S11,Crime,23,2025-04-16
W532,U5753,S32,Adventure,76,2025-07-25
W533,U4971,S25,War,55,2025-07-01
W534,U5211,S10,Fantasy,23,2025-03-16
W535,U3432,S5,Sci-Fi,36,2025-03-03
W536,U4577,S11,Crime,75,2025-07-19
W537,U1867,S5,Sci-Fi,27,2025-04-25
W538,U5932,S36,Horror,36,2025-02-02
W539,U1338,S1,Sci-Fi,58,2025-06-06
W540,U1860,S21,Drama,37,2025-01-30
W541,U5198,S15,Action,27,2025-02-12
W542,U4888,S29,Crime,20,2025-05-13
W543,U1933,S1,Sci-Fi,22,2025-02-18
W544,U2966,S7,Drama,58,2025-04-24
W545,U2965,S3,Drama,79,2025-05-01
W546,U1123,S31,Fantasy,110,2025-07-13
W547,U2542,S17,Thriller,25,2025-02-09
W548,U5119,S6,Animation,26,2025-07-05
W549,U1542,S32,Adventure,77,2025-05-13
W550,U3315,S18,Sci-Fi,91,2025-05-27
W551,U2502,S21,Drama,58,2025-03-22
W552,U4592,S21,Drama,52,2025-05-21
W553,U4183,S3,Drama,55,2025-05-14
W554,U5745,S27,Action,11,2025-03-22
W555,U2281,S25,War,67,2025-05-18
W556,U5597,S9,Drama,52,2025-03-20
W557,U1169,S35,Action,31,2025-03-16
W558,U1530,S24,Drama,46,2025-02-03
W559,U4506,S36,Horror,17,2025-07-24
W560,U3806,S15,Action,62,2025-02-19
W561,U5724,S33,Romance,47,2025-04-29
W562,U1319,S21,Drama,8,2025-03-23
W563,U2155,S6,Animation,90,2025-04-11
W564,U2548,S34,Mystery,7,2025-03-25
W565,U2447,S7,Drama,10,2025-07-06
W566,U4115,S26,Thriller,118,2025-07-15
W567,U5687,S27,Action,15,2025-06-04
W568,U1480,S32,Adventure,36,2025-07-17
W569,U2283,S28,Sci-Fi,55,2025-07-09
W570,U2243,S23,Crime,97,2025-07-23
W571,U3694,S15,Action,80,2025-06-26
W572,U3038,S14,Crime,60,2025-04-09
W573,U4116,S8,Mystery,116,2025-05-24
W574,U1297,S4,Crime,102,2025-02-08
W575,U5708,S11,Crime,108,2025-01-28
W576,U2955,S18,Sci-Fi,56,2025-03-18
W577,U3416,S25,War,120,2025-02-13
W578,U2396,S29,Crime,75,2025-02-08
W579,U5335,S25,War,81,2025-02-20
W580,U1739,S21,Drama,74,2025-07-10
W581,U5268,S4,Crime,97,2025-05-19
W582,U5719,S29,Crime,104,2025-04-16
W583,U5268,S20,Horror,62,2025-02-01
W584,U2658,S30,Sci-Fi,73,2025-06-17
W585,U3193,S28,Sci-Fi,8,2025-07-27
W586,U4319,S5,Sci-Fi,60,2025-06-29
W587,U3569,S33,Romance,98,2025-06-07
W588,U4496,S28,Sci-Fi,16,2025-07-27
